f,gain,split
channel,3593965.2934570312,132
app,11127851.772521973,119
next_click_dt,13266987.712280273,116
os,4792258.018066406,87
hour,1086345.9877929688,50
ip_mean_target,1682465.5068359375,36
channel_cnt_ip_day_hour,1399156.21484375,33
app_mean_target,191826163.8406372,31
channel_nunique_ip,4999815.59375,25
channel_mean_target,13244003.75805664,24
app_nunique_ip_device_os,824510.4224853516,21
app_nunique_ip,5011970.521118164,19
channel_cnt_ip_app,261529.412109375,18
hour_nunique_ip_day,3609032.088623047,18
device,512037.37030029297,17
app_cumcnt_ip_device_os,651675.5427246094,16
ip,73520.44946289062,7
device_mean_target,180942.68286132812,7
app_nunique_channel,7743.670166015625,4
